X,Y,FID,Bundesland,Name,Baujahr,Gesamtleistung__MW_,Anzahl,Typ__WKA_,Ort,Landkreis,Breitengrad,Längengrad,Projektierer___Betreiber,Bemerkungen
10.0991666670001,54.457777778,65,Schleswig-Holstein,Windpark Schwedeneck,2000,"4,5",3,Tacke TW 1.5 (1×),Sprenge,RD,54.4577777777778,10.0991666666667,,
11.0862222220001,54.451055556,66,Schleswig-Holstein,Windkraftanlage Neuhof,1994,"0,1",1,Vestas V20-100kW(1×),Lemkenhafen,OH,54.4510555555556,11.0862222222222,,
9.03333333300003,54.4506944440001,67,Schleswig-Holstein,Windtestfeld Nord[28][29],2014,"20,8",6,SkyWind SW 3.4 (1×)[30],Südermarsch,NF,54.4506944444444,9.03333333333333,Windtestfeld-Nord,"Testfeld für neuartige Windkraftanlagen, zurzeit Test einer zweiflügeligen WindkraftanlageSkyWind SW 3.4mit neuartigem Turmkonzept[31]und der E-126 EP4 vonEnercon"
9.03333333300003,54.4506944440001,68,Schleswig-Holstein,Windtestfeld Nord[28][29],2016,,,Enercon E-126 EP4(1×),,,54.4506944444444,9.03333333333333,,
9.03333333300003,54.4506944440001,69,Schleswig-Holstein,Windtestfeld Nord[28][29],2017,,,GE Wind Energy 3.2-130(1×),,,54.4506944444444,9.03333333333333,,
9.03333333300003,54.4506944440001,70,Schleswig-Holstein,Windtestfeld Nord[28][29],,,,Siemens SWT-3.3-130(1×),,,54.4506944444444,9.03333333333333,,
9.03333333300003,54.4506944440001,71,Schleswig-Holstein,Windtestfeld Nord[28][29],,,,Nordex N131/3300(1×),,,54.4506944444444,9.03333333333333,,
9.03333333300003,54.4506944440001,72,Schleswig-Holstein,Windtestfeld Nord[28][29],,,,Senvion 3.4M104 ES(1×),,,54.4506944444444,9.03333333333333,,
11.178805556,54.423222222,73,Schleswig-Holstein,Windpark Burg auf Fehmarn,1991,"13,8",8,Micon M530-250(1×),Burg auf Fehmarn,OH,54.4232222222222,11.1788055555556,,
11.178805556,54.423222222,74,Schleswig-Holstein,Windpark Burg auf Fehmarn,1994,,,Enercon E-40/5.40(1×),,,54.4232222222222,11.1788055555556,,
11.178805556,54.423222222,75,Schleswig-Holstein,Windpark Burg auf Fehmarn,1995,,,Tacke TW 600 (6×),,,54.4232222222222,11.1788055555556,,
11.182361111,54.420972222,76,Schleswig-Holstein,Windkraftanlage Burg auf Fehmarn[3],1989,"0,25",1,HSW 250(1×),Burg auf Fehmarn,OH,54.4209722222222,11.1823611111111,Klärwerk Burg auf Fehmarn,Kombiniertes Wind- Solar und Biomassekraftwerk
9.58277777800004,54.4147222220001,77,Schleswig-Holstein,Windpark Owschlag-Boklund,2001,"10,5",4,GE Wind Energy 1.5sl(4×),Owschlag,RD,54.4147222222222,9.58277777777778,getproject,
9.58277777800004,54.4147222220001,78,Schleswig-Holstein,Windpark Owschlag-Boklund,,,,Südwind S70(3×),,,54.4147222222222,9.58277777777778,,
9.56527777800005,54.409444444,79,Schleswig-Holstein,Windpark Owschlag-Norby,2001,"12,0",8,Südwind S70(8×),Owschlag,RD,54.4094444444445,9.56527777777778,e3,
10.029722222,54.400555556,80,Schleswig-Holstein,Windpark Wulfshagen[26],2000,"13,5",7,NEG Micon NM72/2000(6×),Tüttendorf,RD,54.4005555555556,10.0297222222222,Energiequelle,Brand einer Anlage und Wiederaufbau im Jahr 2004[27]
