"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"2437","Schleswig-Jagel","9,5203","54,4570","21.0","https://cdc.dwd.de/rest/metadata/station/html/812300493543"
"303","Baruth","13,4997","52,0613","54.0","https://cdc.dwd.de/rest/metadata/station/html/812300495399"
"460","Berus","6,6868","49,2641","363.0","https://cdc.dwd.de/rest/metadata/station/html/812300498535"
"5546","Wiesenburg","12,4586","52,1206","187.0","https://cdc.dwd.de/rest/metadata/station/html/812300500391"
"3366","Mühldorf","12,5024","48,2790","406.0","https://cdc.dwd.de/rest/metadata/station/html/812300502247"
"662","Braunschweig","10,4464","52,2915","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300505383"
"3577","Neustrelitz","13,0502","53,3585","64.0","https://cdc.dwd.de/rest/metadata/station/html/812300506663"
"6159","Dörpen","7,3196","52,9542","8.0","https://cdc.dwd.de/rest/metadata/station/html/812300515367"
"3","Aachen","6,0941","50,7827","202.0","https://cdc.dwd.de/rest/metadata/station/html/812300526631"
"4036","Querfurt-Mühle Lodersleben","11,5412","51,3895","204.0","https://cdc.dwd.de/rest/metadata/station/html/812300527207"
"2638","Klippeneck","8,7548","48,1054","973.0","https://cdc.dwd.de/rest/metadata/station/html/812300534055"
"722","Brocken","10,6183","51,7986","1135.0","https://cdc.dwd.de/rest/metadata/station/html/812300537191"
"2201","Hiddensee-Vitte","13,1044","54,5750","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300545319"
"13904","Nordseeboje 2","6,3333","55,0000","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300551591"
"400","Berlin-Buch","13,5021","52,6310","60.0","https://cdc.dwd.de/rest/metadata/station/html/812300552167"
"3015","Lindenberg","14,1180","52,2085","98.0","https://cdc.dwd.de/rest/metadata/station/html/812300557159"
"2829","Landsberg (Flugplatz)","10,9144","48,0772","621.0","https://cdc.dwd.de/rest/metadata/station/html/812300559015"
"4336","Saarbrücken-Ensheim","7,1077","49,2128","320.0","https://cdc.dwd.de/rest/metadata/station/html/812300560295"
"44","Großenkneten","8,2370","52,9336","44.0","https://cdc.dwd.de/rest/metadata/station/html/812300562151"
"2014","Hannover","9,6779","52,4644","55.0","https://cdc.dwd.de/rest/metadata/station/html/812300567143"
"13711","Krölpa-Rockendorf","11,5150","50,6820","289.0","https://cdc.dwd.de/rest/metadata/station/html/812300573991"
"1130","Eggebek","9,3649","54,6282","17.0","https://cdc.dwd.de/rest/metadata/station/html/812300576551"
"2503","Kaltennordheim","10,1455","50,6266","487.0","https://cdc.dwd.de/rest/metadata/station/html/812300580839"
"3085","Lübeck","10,6915","53,8773","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300581543"
"1957","Halle-Kröllwitz","11,9499","51,5138","93.0","https://cdc.dwd.de/rest/metadata/station/html/812300583975"
"7374","Ahaus","6,9409","52,0813","46.0","https://cdc.dwd.de/rest/metadata/station/html/812300587111"
"1443","Freiburg","7,8343","48,0232","236.0","https://cdc.dwd.de/rest/metadata/station/html/812300590823"
"3096","Lüdenscheid (Zeppelin-Gymnasium)","7,6359","51,2131","444.0","https://cdc.dwd.de/rest/metadata/station/html/812300593383"
"5792","Zugspitze","10,9848","47,4210","2965.0","https://cdc.dwd.de/rest/metadata/station/html/812300593959"
"348","Bendorf","7,5886","50,4135","127.0","https://cdc.dwd.de/rest/metadata/station/html/812300598375"
"5155","Ulm","9,9524","48,3837","567.0","https://cdc.dwd.de/rest/metadata/station/html/812300600807"
"298","Barth","12,7108","54,3405","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300602087"
"3575","Neustadt/Weinstraße","8,1405","49,3570","163.0","https://cdc.dwd.de/rest/metadata/station/html/812300603367"
"5440","Weißenburg-Emetzheim","10,9308","49,0115","439.0","https://cdc.dwd.de/rest/metadata/station/html/812300603943"
"15444","Ulm-Mähringen","9,9216","48,4418","593.0","https://cdc.dwd.de/rest/metadata/station/html/812300605799"
"5142","Ueckermünde","14,0698","53,7445","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300607079"
"7394","Wunsiedel-Schönbrunn","11,9745","50,0315","622.0","https://cdc.dwd.de/rest/metadata/station/html/812300608935"
"1262","München-Flughafen","11,8134","48,3477","446.0","https://cdc.dwd.de/rest/metadata/station/html/812300610791"
"2961","Leuchtturm Kiel","10,2737","54,4996","31.0","https://cdc.dwd.de/rest/metadata/station/html/812300612071"
"1001","Doberlug-Kirchhain","13,5747","51,6451","97.0","https://cdc.dwd.de/rest/metadata/station/html/812300613927"
"2597","Kissingen, Bad","10,0792","50,2240","282.0","https://cdc.dwd.de/rest/metadata/station/html/812300615783"
