loc
"(49.933, 6.817)"
"(51.8, 7.733)"
"(52.75, 8.567)"
"(51.05, 13.739)"
"(50.633, 8.183)"
"(53.717, 9.383)"
"(51.033, 7.783)"
"(51.044, 12.033)"
"(53.766, 13.788)"
"(49.967, 6.633)"
"(49.317, 8.383)"
"(51.517, 10.267)"
"(49.117, 11.933)"
"(52.0, 9.7)"
"(51.433, 6.767)"
"(48.217, 8.5)"
"(53.6, 7.65)"
"(47.7, 10.333)"
"(48.5, 8.017)"
"(48.85, 9.8)"
"(48.933, 8.267)"
"(48.45, 9.05)"
"(54.433, 10.133)"
"(51.124, 13.118)"
"(51.615, 14.599)"
"(50.283, 11.95)"
"(51.484, 13.592)"
"(51.408, 12.025)"
"(51.353, 12.199)"
"(53.138, 11.25)"
"(52.033, 9.0)"
"(50.283, 11.0)"
"(50.734, 13.337)"
"(52.967, 7.317)"
"(52.85, 9.233)"
"(49.383, 9.717)"
"(52.933, 8.383)"
"(51.833, 7.283)"
"(50.267, 7.167)"
"(52.917, 8.633)"
"(48.05, 8.8)"
"(50.8, 6.483)"
"(48.117, 9.533)"
"(48.65, 9.633)"
"(51.05, 14.621)"
"(48.467, 10.433)"
"(49.117, 10.383)"
"(51.03, 14.007)"
"(51.233, 6.783)"
"(51.291, 10.75)"
"(49.983, 10.683)"
"(48.683, 11.467)"
"(50.067, 10.95)"
"(49.467, 8.983)"
"(48.883, 8.967)"
"(51.567, 10.1)"
"(48.0, 9.833)"
"(49.4, 11.95)"
"(49.783, 11.183)"
"(50.1, 10.8)"
"(50.467, 7.767)"
"(51.011, 14.596)"
"(51.094, 13.099)"
"(51.243, 13.658)"
"(48.717, 9.517)"
"(47.983, 9.583)"
"(48.083, 11.967)"
"(50.658, 12.442)"
"(50.45, 9.783)"
"(51.08, 14.699)"
"(50.217, 11.067)"
"(49.183, 9.317)"
"(52.83, 13.813)"
"(49.567, 8.117)"
"(48.583, 8.683)"
"(49.95, 11.933)"
"(49.85, 10.5)"
"(47.967, 7.783)"
"(50.733, 8.867)"
"(53.033, 10.417)"
"(48.3, 11.617)"
"(48.5, 12.067)"
"(48.083, 11.117)"
"(50.4, 8.883)"
"(50.915, 14.831)"
"(49.583, 11.25)"
"(54.467, 9.833)"
"(49.933, 11.5)"
"(53.95, 9.133)"
"(51.695, 11.931)"
"(49.583, 11.7)"
"(52.383, 10.267)"
"(49.283, 8.133)"
"(51.217, 9.45)"
"(51.15, 9.117)"
"(49.267, 8.133)"
"(53.133, 7.983)"
"(50.1, 7.167)"
"(49.45, 8.617)"
"(49.667, 11.1)"
"(47.65, 7.567)"
"(51.943, 11.433)"
"(49.967, 8.667)"
"(48.567, 8.617)"
"(48.283, 11.167)"
"(53.2, 10.067)"
"(54.617, 9.383)"
"(48.4, 12.767)"
"(49.1, 8.383)"
"(47.917, 10.517)"
"(52.567, 7.817)"
"(52.539, 13.822)"
"(53.683, 14.081)"
"(47.7, 8.4)"
"(48.533, 13.067)"
"(49.767, 11.067)"
"(47.933, 12.383)"
"(48.717, 13.267)"
"(47.933, 11.517)"
"(48.183, 10.983)"
"(49.7, 11.25)"
"(48.0, 11.8)"
"(48.633, 11.1)"
"(49.083, 10.55)"
"(48.283, 9.733)"
"(48.667, 8.933)"
"(52.567, 10.783)"
"(50.993, 14.152)"
"(50.5, 10.0)"
"(52.75, 8.7)"
"(50.647, 12.971)"
"(47.917, 7.75)"
"(50.6, 8.383)"
"(50.982, 14.681)"
"(49.733, 10.0)"
"(50.495, 12.601)"
"(49.75, 8.4)"
"(48.167, 11.317)"
"(52.17, 11.399)"
"(49.7, 9.333)"
"(48.633, 12.85)"
"(50.5, 9.683)"
"(48.1, 7.75)"
"(48.9, 11.183)"
"(52.376, 13.629)"
"(51.945, 11.67)"
"(52.55, 10.183)"
"(47.867, 8.9)"
"(51.454, 12.623)"
"(51.986, 11.037)"
"(52.149, 11.205)"
"(52.083, 9.717)"
"(47.633, 7.6)"
"(51.883, 9.783)"
"(52.967, 10.317)"
"(51.817, 9.867)"
"(49.667, 8.55)"
"(50.771, 12.975)"
"(51.767, 10.183)"
"(48.05, 12.233)"
"(50.977, 10.315)"
"(47.95, 8.267)"
"(50.972, 11.899)"
"(49.567, 8.067)"
"(49.883, 10.167)"
"(52.151, 14.634)"
"(50.431, 10.91)"
"(48.95, 8.667)"
"(49.767, 9.833)"
"(51.532, 11.543)"
"(48.7, 9.7)"
"(50.383, 7.717)"
"(48.817, 11.317)"
"(50.767, 9.8)"
"(50.767, 7.45)"
"(48.367, 11.9)"
"(52.083, 10.267)"
"(51.773, 10.802)"
"(50.5, 8.067)"
"(48.933, 8.217)"
"(48.45, 10.1)"
"(53.229, 11.418)"
"(52.683, 10.35)"
"(50.15, 9.967)"
"(50.702, 10.854)"
"(50.733, 7.883)"
"(50.486, 12.391)"
"(49.017, 10.217)"
"(53.75, 9.917)"
"(53.667, 9.867)"
"(49.467, 8.267)"
"(49.15, 9.317)"
"(49.067, 10.967)"
"(51.587, 10.659)"
"(48.967, 10.133)"
"(48.333, 10.317)"
"(53.767, 10.267)"
"(54.218, 13.063)"
"(53.75, 9.65)"
"(49.35, 7.933)"
"(50.933, 6.567)"
"(53.25, 9.35)"
"(54.267, 9.533)"
"(49.85, 9.167)"
"(53.233, 8.467)"
"(51.612, 12.926)"
"(52.539, 13.0)"
"(50.61, 12.167)"
"(51.144, 12.232)"
"(51.461, 13.522)"
"(51.225, 14.136)"
"(50.583, 12.87)"
"(49.967, 10.683)"
"(50.033, 8.133)"
"(51.05, 10.948)"
"(50.417, 8.033)"
"(48.167, 8.067)"
"(52.117, 9.733)"
"(49.4, 9.2)"
"(53.183, 10.35)"
"(53.367, 7.2)"
"(54.267, 9.85)"
"(54.817, 8.7)"
"(50.15, 7.567)"
"(48.117, 7.85)"
"(51.833, 6.25)"
"(48.0, 12.05)"
"(48.183, 11.283)"
"(48.2, 12.767)"
"(47.933, 8.85)"
"(48.4, 8.717)"
"(52.4, 7.283)"
"(52.167, 7.533)"
"(49.55, 10.717)"
"(51.25, 9.267)"
"(52.833, 8.15)"
"(52.933, 8.967)"
"(48.15, 7.7)"
"(47.9, 12.3)"
"(52.8, 8.917)"
"(48.117, 12.55)"
"(48.833, 8.65)"
"(51.33, 12.478)"
"(50.983, 7.417)"
"(49.467, 11.4)"
"(47.85, 8.767)"
"(52.133, 8.567)"
"(48.383, 9.283)"
"(48.483, 9.267)"
"(49.483, 7.9)"
"(49.983, 7.133)"
"(51.3, 7.367)"
"(51.833, 8.033)"
"(49.35, 11.933)"
"(51.483, 7.967)"
"(48.667, 8.467)"
"(49.333, 8.917)"
"(48.25, 8.6)"
"(49.4, 6.967)"
"(49.4, 8.633)"
"(49.117, 7.567)"
"(50.8, 13.228)"
"(49.95, 8.85)"
"(49.133, 8.917)"
"(48.167, 10.517)"
"(50.133, 8.4)"
"(48.333, 9.9)"
"(49.667, 9.0)"
"(49.833, 12.05)"
"(51.475, 11.63)"
"(48.3, 11.9)"
"(48.95, 9.3)"
"(50.821, 13.076)"
"(48.333, 11.3)"
"(48.083, 11.017)"
"(54.317, 9.317)"
"(50.8, 6.767)"
"(50.986, 11.022)"
"(49.167, 7.817)"
"(49.517, 10.333)"
"(48.583, 12.167)"
